_id.courseId,_id.sectionId,_id.unitId,_id.user,_id.fullScr
26,1,1,14827,true
26,1,1,15971,true
26,1,1,2909,true
26,1,1,5199,true
26,1,1,1,false
26,1,1,1182,false
26,1,1,120,false
26,1,1,12186,false
26,1,1,12267,false
26,1,1,13639,false
26,1,1,1374,false
26,1,1,13836,false
26,1,1,14015,false
26,1,1,14827,false
26,1,1,15347,false
26,1,1,15980,false
26,1,1,16102,false
26,1,1,17784,false
26,1,1,1921,false
26,1,1,1983,false
26,1,1,2,false
26,1,1,2909,false
26,1,1,31,false
26,1,1,318,false
26,1,1,4785,false
26,1,1,5199,false
26,1,1,9158,false
26,2,5,1182,true
26,2,5,12267,true
26,2,5,14827,true
26,2,5,15980,true
26,2,5,2909,true
26,2,5,11628,false
26,2,5,1182,false
26,2,5,12267,false
26,2,5,1374,false
26,2,5,14015,false
26,2,5,15347,false
26,2,5,15980,false
26,2,5,16102,false
26,2,5,17784,false
26,2,5,1921,false
26,2,5,1983,false
26,2,5,2,false
26,2,5,2909,false
26,2,5,318,false
26,2,5,4785,false
26,2,5,5199,false
26,2,9,14827,true
26,2,9,15971,true
26,2,9,15980,true
26,2,9,1182,false
26,2,9,1374,false
26,2,9,14015,false
26,2,9,14827,false
26,2,9,15347,false
26,2,9,15971,false
26,2,9,15980,false
26,2,9,16102,false
26,2,9,17784,false
26,2,9,1921,false
26,2,9,1983,false
26,2,9,2,false
26,2,9,318,false
26,2,9,5199,false
26,3,1,14827,true
26,3,1,15980,true
26,3,1,1374,false
26,3,1,14015,false
26,3,1,14827,false
26,3,1,1502,false
26,3,1,15347,false
26,3,1,15980,false
26,3,1,16102,false
26,3,1,17784,false
26,3,1,1921,false
26,3,1,1983,false
26,3,1,2,false
26,3,1,318,false
26,3,1,5199,false
26,4,1,14827,true
26,4,1,15980,true
26,4,1,2909,true
26,4,1,12186,false
26,4,1,1374,false
26,4,1,14015,false
26,4,1,14827,false
26,4,1,15347,false
26,4,1,15971,false
26,4,1,15980,false
26,4,1,16102,false
26,4,1,17784,false
26,4,1,1921,false
26,4,1,1983,false
26,4,1,2,false
26,4,1,2909,false
26,4,1,318,false
26,4,1,5199,false
26,4,12,15980,true
26,4,12,1983,true
26,4,12,1182,false
26,4,12,1374,false
26,4,12,14015,false
26,4,12,14827,false
26,4,12,15347,false
26,4,12,15971,false
26,4,12,16102,false
26,4,12,1983,false
26,4,12,2909,false
26,4,12,318,false
26,4,12,5199,false
26,4,15,15980,true
26,4,15,1182,false
26,4,15,1374,false
26,4,15,14015,false
26,4,15,15347,false
26,4,15,15971,false
26,4,15,15980,false
26,4,15,16102,false
26,4,15,1983,false
26,4,15,2909,false
26,4,15,318,false
26,4,15,5199,false
26,4,2,15980,true
26,4,2,1374,false
26,4,2,14015,false
26,4,2,14827,false
26,4,2,15347,false
26,4,2,15971,false
26,4,2,15980,false
26,4,2,16102,false
26,4,2,17784,false
26,4,2,1921,false
26,4,2,1983,false
26,4,2,2,false
26,4,2,318,false
26,4,2,5199,false
26,4,8,15980,true
26,4,8,2909,true
26,4,8,1374,false
26,4,8,14015,false
26,4,8,14827,false
26,4,8,15347,false
26,4,8,15971,false
26,4,8,15980,false
26,4,8,16102,false
26,4,8,17784,false
26,4,8,1983,false
26,4,8,2,false
26,4,8,2909,false
26,4,8,318,false
26,4,8,5199,false
26,6,1,15980,true
26,6,1,1374,false
26,6,1,14015,false
26,6,1,15347,false
26,6,1,15971,false
26,6,1,16102,false
26,6,1,5199,false
28,1,1,10422,true
28,1,1,1079,true
28,1,1,11614,true
28,1,1,12951,true
28,1,1,13131,true
28,1,1,13674,true
28,1,1,13792,true
28,1,1,13813,true
28,1,1,13889,true
28,1,1,13930,true
28,1,1,13980,true
28,1,1,1403,true
28,1,1,14072,true
28,1,1,14190,true
28,1,1,14373,true
28,1,1,14381,true
28,1,1,14417,true
28,1,1,14424,true
28,1,1,14499,true
28,1,1,14513,true
28,1,1,14547,true
28,1,1,14567,true
28,1,1,14619,true
28,1,1,14627,true
28,1,1,14709,true
28,1,1,14804,true
28,1,1,14821,true
28,1,1,14897,true
28,1,1,14996,true
28,1,1,15062,true
28,1,1,15109,true
28,1,1,15126,true
28,1,1,15160,true
28,1,1,15211,true
28,1,1,15264,true
28,1,1,15294,true
28,1,1,15308,true
28,1,1,15472,true
28,1,1,15867,true
28,1,1,15880,true
28,1,1,16511,true
28,1,1,16544,true
28,1,1,16642,true
28,1,1,172,true
28,1,1,17401,true
28,1,1,1749,true
28,1,1,17753,true
28,1,1,17788,true
28,1,1,18036,true
28,1,1,18219,true
28,1,1,18505,true
28,1,1,223,true
28,1,1,2384,true
28,1,1,3295,true
28,1,1,5652,true
28,1,1,8077,true
28,1,1,10051,false
28,1,1,10363,false
28,1,1,10422,false
28,1,1,1079,false
28,1,1,11094,false
28,1,1,11417,false
28,1,1,11421,false
28,1,1,11464,false
28,1,1,11537,false
28,1,1,11614,false
28,1,1,11822,false
28,1,1,12,false
28,1,1,120,false
28,1,1,12150,false
28,1,1,12333,false
28,1,1,12334,false
28,1,1,12445,false
28,1,1,12615,false
28,1,1,12675,false
28,1,1,12951,false
28,1,1,13022,false
28,1,1,13048,false
28,1,1,13053,false
28,1,1,13131,false
28,1,1,13137,false
28,1,1,13147,false
28,1,1,13242,false
28,1,1,13350,false
28,1,1,13357,false
28,1,1,13361,false
28,1,1,1338,false
28,1,1,13506,false
28,1,1,13566,false
28,1,1,13578,false
28,1,1,13627,false
28,1,1,13631,false
28,1,1,13669,false
28,1,1,13674,false
28,1,1,13685,false
28,1,1,13706,false
28,1,1,1374,false
28,1,1,13749,false
28,1,1,13759,false
28,1,1,13765,false
28,1,1,13770,false
28,1,1,13793,false
28,1,1,13813,false
28,1,1,13814,false
28,1,1,13855,false
28,1,1,13889,false
28,1,1,13891,false
28,1,1,13902,false
28,1,1,13930,false
28,1,1,13980,false
28,1,1,1399,false
28,1,1,13997,false
28,1,1,14000,false
28,1,1,14002,false
28,1,1,14015,false
28,1,1,1403,false
28,1,1,14046,false
28,1,1,14061,false
28,1,1,14072,false
28,1,1,14086,false
28,1,1,14090,false
28,1,1,14108,false
28,1,1,14115,false
28,1,1,14135,false
28,1,1,14136,false
28,1,1,14163,false
28,1,1,14190,false
28,1,1,14219,false
28,1,1,1425,false
28,1,1,14265,false
28,1,1,14280,false
28,1,1,14282,false
28,1,1,14293,false
28,1,1,14344,false
28,1,1,14373,false
28,1,1,14376,false
28,1,1,14378,false
28,1,1,14381,false
28,1,1,14411,false
28,1,1,14417,false
28,1,1,14419,false
28,1,1,14424,false
28,1,1,14429,false
28,1,1,14447,false
28,1,1,14459,false
28,1,1,14473,false
28,1,1,14475,false
28,1,1,14489,false
28,1,1,14513,false
28,1,1,14515,false
28,1,1,14525,false
28,1,1,14534,false
28,1,1,14535,false
28,1,1,14540,false
28,1,1,14541,false
28,1,1,14547,false
28,1,1,14551,false
28,1,1,14564,false
28,1,1,14565,false
28,1,1,14567,false
28,1,1,14595,false
28,1,1,14599,false
28,1,1,14616,false
28,1,1,14619,false
28,1,1,14627,false
28,1,1,14633,false
28,1,1,14650,false
28,1,1,14666,false
28,1,1,14689,false
28,1,1,14693,false
28,1,1,14696,false
28,1,1,14697,false
28,1,1,14707,false
28,1,1,14709,false
28,1,1,14710,false
28,1,1,14716,false
28,1,1,14726,false
28,1,1,14778,false
28,1,1,14804,false
28,1,1,14818,false
28,1,1,14819,false
28,1,1,14821,false
28,1,1,14824,false
28,1,1,14841,false
28,1,1,14854,false
28,1,1,14868,false
28,1,1,14880,false
28,1,1,14892,false
28,1,1,14897,false
28,1,1,14905,false
28,1,1,14913,false
28,1,1,14923,false
